"war","dbpedia","date","place_name"
"1992 Venezuelan coup d'état attempts","http://dbpedia.org/resource/1992_Venezuelan_coup_d'état_attempts",1992-11-27,"Venezuela"
"1992 Yugoslav People's Army column incident in Sarajevo","http://dbpedia.org/resource/1992_Yugoslav_People's_Army_column_incident_in_Sarajevo",1992-05-03,"Sarajevo"
"1992 Yugoslav People's Army column incident in Sarajevo","http://dbpedia.org/resource/1992_Yugoslav_People's_Army_column_incident_in_Sarajevo",1992-05-03,"Republic of Bosnia and Herzegovina"
"1992 Yugoslav People's Army column incident in Tuzla","http://dbpedia.org/resource/1992_Yugoslav_People's_Army_column_incident_in_Tuzla",1992-05-15,"Tuzla"
"1992 Yugoslav People's Army column incident in Tuzla","http://dbpedia.org/resource/1992_Yugoslav_People's_Army_column_incident_in_Tuzla",1992-05-15,"Republic of Bosnia and Herzegovina"
"1993 Guatemalan constitutional crisis","http://dbpedia.org/resource/1993_Guatemalan_constitutional_crisis",1993-05-25,"Guatemala"
"1993 Russian constitutional crisis","http://dbpedia.org/resource/1993_Russian_constitutional_crisis",1993-10-04,"Moscow"
"1993 Russian constitutional crisis","http://dbpedia.org/resource/1993_Russian_constitutional_crisis",1993-10-04,"Russia"
"1993 cruise missile strikes on Iraq","http://dbpedia.org/resource/1993_cruise_missile_strikes_on_Iraq",1993-06-26,"Persian Gulf"
"1994 Black Hawk shootdown incident","http://dbpedia.org/resource/1994_Black_Hawk_shootdown_incident",1994-04-14,"Erbil"
"1994 Black Hawk shootdown incident","http://dbpedia.org/resource/1994_Black_Hawk_shootdown_incident",1994-04-14,"Ba'athist Iraq"
"1994 Black Hawk shootdown incident","http://dbpedia.org/resource/1994_Black_Hawk_shootdown_incident",1994-04-14,"Arbil Province"
"1994 Gambian coup d'état","http://dbpedia.org/resource/1994_Gambian_coup_d'état",1994-07-22,"The Gambia"
"1994 Shankill Road killings","http://dbpedia.org/resource/1994_Shankill_Road_killings",1994-06-16,"Belfast"
"1994 Shankill Road killings","http://dbpedia.org/resource/1994_Shankill_Road_killings",1994-06-16,"Shankill Road"
"1995 Azerbaijani coup d'état attempt","http://dbpedia.org/resource/1995_Azerbaijani_coup_d'état_attempt",1995-03-17,"Azerbaijan"
"1996 Gangneung submarine infiltration incident","http://dbpedia.org/resource/1996_Gangneung_submarine_infiltration_incident",1996-09-17,"South Korea"
"1996 Gangneung submarine infiltration incident","http://dbpedia.org/resource/1996_Gangneung_submarine_infiltration_incident",1996-09-17,"Gangneung"
"1996 Gangneung submarine infiltration incident","http://dbpedia.org/resource/1996_Gangneung_submarine_infiltration_incident",1996-09-17,"Gangwon-do (South Korea)"
"1996 cruise missile strikes on Iraq","http://dbpedia.org/resource/1996_cruise_missile_strikes_on_Iraq",1996-09-03,"Ba'athist Iraq"
"1997 Coalisland attack","http://dbpedia.org/resource/1997_Coalisland_attack",1997-03-26,"County Tyrone"
"1997 Coalisland attack","http://dbpedia.org/resource/1997_Coalisland_attack",1997-03-26,"Northern Ireland"
"1997 Coalisland attack","http://dbpedia.org/resource/1997_Coalisland_attack",1997-03-26,"Coalisland"
"1997 Vavunathivu Offensive","http://dbpedia.org/resource/1997_Vavunathivu_Offensive",1997-03-07,"Sri Lanka"
"1997 Zambian coup d'état attempt","http://dbpedia.org/resource/1997_Zambian_coup_d'état_attempt",1997-10-28,"Zambia"
"1997 nationalist riots in Northern Ireland","http://dbpedia.org/resource/1997_nationalist_riots_in_Northern_Ireland",1997-07-11,"Irish nationalism"
"1998 Battle of Kilinochchi","http://dbpedia.org/resource/1998_Battle_of_Kilinochchi",1998-09-27,"Sri Lanka"
"1998 Battle of Kilinochchi","http://dbpedia.org/resource/1998_Battle_of_Kilinochchi",1998-09-27,"Kilinochchi"
"1998 Sokcho submarine incident","http://dbpedia.org/resource/1998_Sokcho_submarine_incident",1998-06-22,"Sokcho"
"1998 Sokcho submarine incident","http://dbpedia.org/resource/1998_Sokcho_submarine_incident",1998-06-22,"Gangwon-do (South Korea)"
"1999 East Timorese crisis","http://dbpedia.org/resource/1999_East_Timorese_crisis",1999-09-20,"East Timor"
